,Name,Address,Lat,Lon,id
0,Jordan's Big Ten Pub,"1330 Regent St, Madison, WI 53715",43.0680798,-89.4083302,ChIJzTnVYMWsB4gRfKjlRFEpZl4
1,The Red Zone Madison,"1212 Regent St, Madison, WI 53715",43.0678893,-89.4064022,ChIJmQbAuc-sB4gRa08NR3p15_A
2,SCONNIEBAR,"1421 Regent St, Madison, WI 53711",43.0675992,-89.4102161,ChIJv7KqIcWsB4gRD8r9-uuSKh0
3,Library Cafe & Bar,"320 N Randall Ave, Madison, WI 53715",43.0730467,-89.4092153,ChIJieKORsasB4gR-lk9tzG9YHI
4,Nam's Noodle & Karaoke Bar,"1336 Regent St, Madison, WI 53715",43.0678807,-89.4084596,ChIJgYdaZ8WsB4gRRTgoP_sYlaE
5,Rustic Tavern,"516 S Park St, Madison, WI 53715",43.0615757,-89.4009868,ChIJl1R9f9OsB4gRrBucjzdTwm4
6,Garth's Brew Bar,"1726 Monroe St, Madison, WI 53711",43.06565390000001,-89.4163482,ChIJyXVx5_etB4gRZ7FwDKG8LOM
7,Greenbush Bar,"914 Regent St, Madison, WI 53715",43.0678232,-89.401863,ChIJ34eGvs2sB4gRzN-MbSLyiY4
8,Mason Lounge,"416 S Park St, Madison, WI 53715",43.0627997,-89.4010716,ChIJcWKtmNOsB4gROqrgvqCs-8k
9,Lucky's,"Madison, WI 53715",43.0676616,-89.4083011,ChIJldbfXcWsB4gRejuhDaSm1l0
10,Buckingham's Bar & Grill,"802 Regent St, Madison, WI 53715",43.0677807,-89.39940690000002,ChIJCySAP82sB4gREaVS_omtxZE
11,Sweet Home Wisconsin,"910 Regent St, Madison, WI 53715",43.0677981,-89.40166219999999,ChIJK4Gjvc2sB4gRqY88_sb3lEY
12,City Bar,"636 State St, Madison, WI 53703",43.0750193,-89.3961721,ChIJLz5gojVTBogRAAMbSgf4Xao
13,Mondays,"523 State St, Madison, WI 53703",43.0746641,-89.3946253,ChIJ1VkRxDVTBogR9hsT9LmWhFI
14,The Bar,"1 W Dayton St, Madison, WI 53703",43.0756129,-89.3865836,ChIJn1y6hzhTBogRa11PVODDkQo
15,Chasers Bar & Grille,"319 W Gorham St, Madison, WI 53703",43.0742844,-89.39217699999999,ChIJzdxCWzZTBogRXKwnuoDjG0A
16,Wando's,"602 University Ave, Madison, WI 53715",43.0733486,-89.3960109,ChIJGVuCVjRTBogREUGxwjE1TZo
17,Vintage Spirits & Grill,"529 University Ave, Madison, WI 53703",43.072978,-89.395453,ChIJSyAhRTRTBogRb_QUIdmd4gU
18,The Double U,"620 University Ave, Madison, WI 53715",43.0734004,-89.3967962,ChIJWZwz-zRTBogRzEOzAKW66A4
19,Paradise Lounge,"119 W Main St, Madison, WI 53703",43.0723917,-89.3846906,ChIJkytZCT9TBogRJoV_FJw_Vk8
20,Paul's Club,"204 State St, Madison, WI 53703",43.0749515,-89.38835399999999,ChIJ39GQIjhTBogRJLq-dYYE5H0
21,Silver Dollar Tavern,"117 W Mifflin St, Madison, WI 53703",43.0742617,-89.38690539999999,ChIJNQAJWjhTBogRM2K4vjgGxPE
22,Hawk's Bar & Grill,"425 State St, Madison, WI 53703",43.0747119,-89.39273879999999,ChIJL2GPaTZTBogRsaf58CV07N4
23,Red Rock Saloon,"322 W Johnson St, Madison, WI 53703",43.0741205,-89.3911445,ChIJXXjjrDdTBogRjpU0eY0v3LE
24,The Old Fashioned,"23 N Pinckney St #1, Madison, WI 53703",43.0762535,-89.38370069999999,ChIJHxgqqEBTBogRJLOAk9gWpBg
25,Danny's Pub,"328 W Gorham St, Madison, WI 53703",43.07436490000001,-89.3925601,ChIJm5qwQjZTBogRnh4xpjyDlVA
