,id,website,phone number,hours
0,ChIJzTnVYMWsB4gRfKjlRFEpZl4,https://big10pub.com/,(608) 251-6375,"['Monday: 11:00 AM – 11:15 PM', 'Tuesday: 11:00 AM – 11:15 PM', 'Wednesday: 11:00 AM – 11:15 PM', 'Thursday: 11:00 AM – 2:00 AM', 'Friday: 11:00 AM – 2:00 AM', 'Saturday: 11:00 AM – 2:00 AM', 'Sunday: 11:00 AM – 11:15 PM']"
1,ChIJmQbAuc-sB4gRa08NR3p15_A,http://www.theredzonemadison.com/,(608) 251-6766,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 6:00 PM – 1:00 AM', 'Friday: 6:00 PM – 1:00 AM', 'Saturday: 6:00 PM – 1:00 AM', 'Sunday: Closed']"
2,ChIJv7KqIcWsB4gRD8r9-uuSKh0,http://sconniebar.com/,(608) 819-8610,"['Monday: 11:00 AM – 12:00 AM', 'Tuesday: 11:00 AM – 12:00 AM', 'Wednesday: 11:00 AM – 12:00 AM', 'Thursday: 11:00 AM – 12:00 AM', 'Friday: 11:00 AM – 12:00 AM', 'Saturday: 11:00 AM – 12:00 AM', 'Sunday: 11:00 AM – 12:00 AM']"
3,ChIJieKORsasB4gR-lk9tzG9YHI,http://www.librarycafeandbar.com/,(608) 251-1200,"['Monday: 11:00 AM – 3:00 PM', 'Tuesday: 11:00 AM – 3:00 PM', 'Wednesday: 11:00 AM – 3:00 PM', 'Thursday: 11:00 AM – 10:00 PM', 'Friday: 11:00 AM – 10:00 PM', 'Saturday: Closed', 'Sunday: Closed']"
4,ChIJgYdaZ8WsB4gRRTgoP_sYlaE,http://www.namnoodle.com/,(608) 287-0475,"['Monday: 11:00 AM – 9:30 PM', 'Tuesday: 11:00 AM – 9:30 PM', 'Wednesday: 11:00 AM – 9:30 PM', 'Thursday: 11:00 AM – 9:30 PM', 'Friday: 11:00 AM – 10:00 PM', 'Saturday: 11:00 AM – 10:00 PM', 'Sunday: 11:00 AM – 9:30 PM']"
5,ChIJl1R9f9OsB4gRrBucjzdTwm4,http://rustic-tavern-madison.poi.place/,(608) 256-9538,"['Monday: 6:00 AM – 2:00 AM', 'Tuesday: 6:00 AM – 2:00 AM', 'Wednesday: 6:00 AM – 2:00 AM', 'Thursday: 6:00 AM – 2:00 AM', 'Friday: 6:00 AM – 2:30 AM', 'Saturday: 6:00 AM – 2:30 AM', 'Sunday: 6:00 AM – 12:00 AM']"
6,ChIJyXVx5_etB4gRZ7FwDKG8LOM,http://www.garthsbrewbar.com/,Unknown,"['Monday: Closed', 'Tuesday: 5:00 – 8:00 PM', 'Wednesday: 5:00 – 8:00 PM', 'Thursday: 5:00 – 8:00 PM', 'Friday: 5:00 – 8:00 PM', 'Saturday: 12:00 – 7:00 PM', 'Sunday: 12:00 – 4:00 PM']"
7,ChIJ34eGvs2sB4gRzN-MbSLyiY4,http://www.greenbushbar.net/,(608) 257-2874,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 4:00 – 8:00 PM', 'Thursday: 4:00 – 8:00 PM', 'Friday: 4:00 – 8:00 PM', 'Saturday: 4:00 – 8:00 PM', 'Sunday: Closed']"
8,ChIJcWKtmNOsB4gROqrgvqCs-8k,http://themasonlounge.com/,(608) 492-3350,"['Monday: Closed', 'Tuesday: 3:00 PM – 12:00 AM', 'Wednesday: 3:00 PM – 12:00 AM', 'Thursday: 3:00 PM – 12:00 AM', 'Friday: 3:00 PM – 1:00 AM', 'Saturday: 3:00 PM – 1:00 AM', 'Sunday: 3:00 – 10:00 PM']"
9,ChIJldbfXcWsB4gRejuhDaSm1l0,http://luckys1313.com/,Unknown,"['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']"
